Barhiya,BRYA,Bihar,
Barhni,BNY,Uttar Pradesh,
Bari Brahman,BBMN,Jammu & Kashmir,
Bariarpur,BUP,Bihar,
Barkakana,BRKA,Jharkhand,
Barkur,BKJ,Karnataka,
Barlai,BLAX,,
Barmer,BME,Rajasthan,
Barnagar,BNG,West Bengal,
Barnala,BNN,Punjab,
Barog,BOF,Himachal Pradesh,
Barpali,BRPL,Odisha,
Barpeta Road,BPRD,Assam,
Barrackpore,BP,West Bengal,
Barsathi,BSY,,
Barsi Takli,BSQ,Maharashtra,
Barsi Town,BTW,Maharashtra,
Barsoi Junction,BOE,Bihar,
Barsola,BZO,,
Barsuan,BXF,Odisha,
Bartara,BTRA,Uttar Pradesh,
Baruva,BAV,,
Baruipur Junction,BRP,West Bengal,
Barwa Sagar,BWR,,
Barwadih Junction,BRWD,Jharkhand,
Barwaha,BWW,,
Barya Ram,BYHA,,
Basai,BZY,,
Basar,BSX,Telangana,
Basbari,BSI,Assam,
Basharatganj,BTG,,
Basi Kiratpur,BSKR,,
Basin Bridge,BBQ,Tamil Nadu,
Basmat,BMF,Maharashtra,
Basni,BANE,Rajasthan,
Bassi Pathana,BSPN,Punjab,
Basta,BTS,Odisha,
Basti,BST,Uttar Pradesh,
Basugaon,BSGN,Assam,
Baswa,BU,,
Batadrowa Road,BTDR,Assam,
Batala Junction,BAT,Punjab,
Bauria Junction,BVA,West Bengal,
Bavla,VLA,,
Bawal,BWL,Haryana,
Bawani Khera,BWK,Haryana,
Bayana Junction,BXN,Rajasthan,
Baytu,BUT,,
Bazida Jatan,BZJT,Haryana,
Bazpur,BPZ,Uttarakhand,
Bazurghat,BZGT,Assam,
Beas,BEAS,Punjab,
Beawar,BER,Rajasthan,
Begunkodor,,West BengalER/Eastern Railway,
Bedetti,BVV,,
Begampet,BMT,Telangana,
Begu Sarai,BGS,Bihar,
Behtagokul,BEG,,
Behula,,West Bengal,
Bejnal,BJN,,
Bela Tal,BTX,Uttar Pradesh,
Belampalli,BPA,Telangana,
Belapur,BAP,Maharashtra,
Belgahna,BIG,,
Belgharia,BEL,WEST BENGAL,
Belgaum,BGM,Karnataka,
Belha,BYL,,
Bellary Junction,BAY,Karnataka,
Bellary Cantonment,BYC,Karnataka,
Belpahar,BPH,Odisha,
Belrayan,BXM,,
Belsiri,BLRE,,
Belthara Road,BLTR,Uttar Pradesh,
Belur,BEQ,,
Belvandi,BWD,,
Beohari,BEHR,Madhya Pradesh,
Berchha,BCH,Madhya Pradesh,
Berhampore Court,BPC,West Bengal,
Brahmapur,BAM,Odisha,
Besroli,BSRL,,
Betavad,BEW,,
Bettiah,BTH,Bihar,
Betul,BZU,Madhya Pradesh,
Bhabhar,BAH,,
Bhabua Road,BBU,Bihar,
Bhachau,BCO,Gujarat,
Bhachau BG,BCOB,Gujarat,
Bhadan,BDN,Uttar Pradesh,
Bhadaura,BWH,,
Bhadbhadaghat,BVB,,
Bhadli,BDI,,
Bhadohi,BOY,Uttar Pradesh,
Bhadra,BHD,Rajasthan,
Bhadrachalam Road,BDCR,Telangana,
Bhadrak,BHC,Odisha,
Bhadran,,Gujarat,
Bhadravati,BDVT,Karnataka,
Bhadroli,BBY,,
Bhaga Junction,VAA,,
Bhagalpur,BGP,Bihar,
Bhagat Ki Kothi,BGKT,Rajasthan,
Bhagega,BAGA,,
Bhagtanwala,BGTN,,
Bhagwanpur,BNR,,
Bhagwanpura,BGPR,,
Bhaini Khurd,BZK,Haryana,
Bhairongarh,BOG,,
Bhakti Nagar,BKNG,Gujarat,
Bhalki,BHLK,Karnataka,
Bhalumaska,BLMK,Odisha,
Bhanapur,BNP,,
Bhandak,BUX,Maharashtra,
Bhandara Road,BRD,Maharashtra,
Bhandup,,Maharashtra,
Bhanga,BXG,Assam,
Bhankoda,BKD,,
Bharat Kup,BTKP,,
Bharatkund,BTKD,,
Bharatpur Junction,BTE,Rajasthan,
Bharatwada,BWRA,,
Bharthana,BNT,Uttar Pradesh,
Bharuch Junction,BH,Gujarat,
Bharwa Sumerpur,BSZ,,
Bharwari,BRE,,
Bhatel,BHTL,,
Bhatgaon,BOV,,
Bhatinda Junction,BTI,Punjab,
Bhatiya,BHV,,
Bhatkal,BTJL,Karnataka,
Bhatni Junction,BTT,Uttar Pradesh,
Bhaton Ki Gali,BHG,,
Bhatpar Rani,BHTR,,
Bhatpur,BTPR,,
Bhattu,BHT,Haryana,
Bhaunra,BNVD,,
Bhavanagar Para,BVP,Gujarat,
Bhavani Nagar,BVNR,,
Bhavnagar Terminus,BVC,Gujarat,
Bhawani Mandi,BWM,Rajasthan,
Bhawanipatna,BWIP,Odisha,
Bhawanipur Kalan,BWP,,
Bhayandar,BYR,Maharashtra,
Bhayavadar,BHY,Gujarat,
Bheempura,BIPR,Rajasthan,
Bheerpur,BEP,,
Bhemswadi,BSWD,,
Bheraghat,BRGT,Madhya Pradesh,
Bhesana,BFY,,
Bhigwan,BGVN,,
Bhilad,BLD,Gujarat,
Bhilai Power House,BPHB,Chhattisgarh,
Bhilainagar,BQR,Chhattisgarh,
Bhilavdi,BVQ,,
Bhildi,BLDI,Gujarat,
Bhilwara,BHL,Rajasthan,
Bhimal,BIML,,
Bhimana,BMN,,
Bhimarlai,BMQ,,
Bhimasar,BMSR,,
Bhimavaram Junction,BVRM,Andhra Pradesh,
Bhimavaram Town,BVRT,Andhra Pradesh,
Bhimnath,BNH,,
Bhimsen,BZM,Uttar Pradesh,
Bhind,BIX,Madhya Pradesh,
Bhinwaliya,BWA,,
Bhitaura,BTO,,
Bhivpuri Road,,Maharashtra,
Bhiwandi,BIRD,Maharashtra,
Bhiwani,BNW,Haryana,
Bhiwani City,BNWC,Haryana,
Bhodwal Majri,BDMJ,Haryana,
Bhogpur Sirwal,BPRS,Punjab,
Bhojipura Junction,BPR,Uttar Pradesh,
Bhojo,BOJ,,
Bhojras,BHAS,,
Bhojudih Junction,BJE,Jharkhand,
Bhoke,BOKE,,
Bhone,BHNE,,
Bhongaon,BGQ,Uttar Pradesh,
Bhongir,BG,Telangana,
Bhopal Bairagarh,BIH,Madhya Pradesh,
Bhopal Dewanganj,DWN,Madhya Pradesh,
Bhopal Habibganj,HBJ,Madhya Pradesh,
Bhopal Junction,BPL,Madhya Pradesh,
Bhopal Mandideep,BMND,Madhya Pradesh,
Bhopal Misrod,BMSD,Madhya Pradesh,
Bhopal Nishatpura,BNTP,Madhya Pradesh,
Bhubaneswar railway station,BBS,oOdisha,
Bhuj,BHUJ,Gujarat,
Bhupalsagar,BSJ,,
Bhupia Mau,VPO,,
Bhusaval Junction,BSL,Maharashtra,
Bhutakia Bhimsa,BUBR,,
Bhusaval,BSL,Maharashtra,
Bibinagar Junction,BN,Telangana,
Bichia,BIC,,
Bichpuri,BCP,Uttar Pradesh,
Bidadi,BID,Karnataka,
Bidanpur,BDNP,,
Bidar,BIDR,Karnataka,
Bidhan Nagar Road,BNXR,West Bengal,
Bidupur,BIU,[Bihar],
Bidyadabri,BDYR,Assam,
Bighapur,BQP,,
Bihara,BHZ,Assam,
Bihar Sharif,BEHS,Bihar,
Bihiya,BEA,Bihar,
Bihta,BTA,[Bihar],
Bijainagar,BJNR,,
Bijapur,BJP,Karnataka,
Bijauli,BJI,,
Bijaysota,VST,,
Bijni,BJF,Assam,
Bijnor,BJO,Uttar Pradesh,
Bijoor,BIJR,Karnataka,
Bijora,BJK,,
Bijrotha,BJA,,
Bijuri,BJRI,,
Bikaner Junction,BKN,Rajasthan,
Bikrampur,BMR,,
Bilaspur,BSP,Chhattisgarh,
Bilaspur Road,BLOR,Himachal Pradesh,
Bildi,BILD,,
Bilhar Ghat,BLG,,
Bilhaur,BLU,,
Bilimora Junction,BIM,Gujarat,
Bilkha,BILK,,
Billi,BXLL,,
Bilpur,BLPU,,
Bilwai,BWI,,
Bina Junction,BINA,Madhya Pradesh,
Binaur,BNAR,,
Bindki Road,BKO,Uttar Pradesh,
Binnaguri,BNV,West Bengal,
Bir,BIR,,
Biradhwal,BDWL,,
Birambad,BAMA,,
Birang Khera,BMK,,
Birapatti,BRPT,,
Birlanagar,BLNR,Madhya Pradesh,
Birmitrapur,BRMP,Odisha,
Birohe,BEO,,
Biroliya,BRLY,,
Birsinghpur,BRS,,
Birur Junction,RRB,Karnataka,
Bisalwas Kalan,BIWK,,
Bishengarh,BISH,Rajasthan,
Bishnathganj,BTJ,,
Bishnupur railway station,VSU,West Bengal,
Bishrampur,BSPR,Chhattisgarh,
Bissam Cuttack,BMCK,Odisha,
Bissau,BUB,Rajasthan,
Biswa Bridge,BIS,Maharashtra,
Biswan,BVN,,
Biyavra,BVR,Madhya Pradesh,
Biyavra Rajgarh,BRRG,Madhya Pradesh,
Bobas,BOBS,,
Bobbili Junction,VBL,Andhra Pradesh,
Bodeli,BDE,Gujarat,
Bodhan,BDHN,Telangana,
Bodwad,BDWD,,
Boinda,BONA,Odisha,
Boisar,BOR,Maharashtra,
Bokajan,BXJ,Assam,
Bokaro Steel City,BKSC,Jharkhand,
Bokaro Thermal,BKRO,Jharkhand,
Boko,BOKO,Assam,
Bolai,BLX,,
Bolarum,BMO,Telangana,
Bolda,BLC,,
Bolpur — Santiniketan,BHP,West Bengal,
Bommidi,BQI,Andhra Pradesh,
Bongaigaon,BNGN,Assam,
Borawar,BOW,Rajasthan,
Bordhal,BXY,,
Bordi,BIO,,
Borgaon,BGN,,
Borivali,BVI,Maharashtra,
Borra Guhalu,BGHU,Andhra Pradesh,
Borvihir,BRVR,,
Botad Junction,BTD,Gujarat,
Boxirhat,BXHT,Assam,
Brahmavart,BRT,,
Brajarajnagar,BRJN,Odisha,
Brayla Chaurasi,BRLA,,
Budalur,BAL,,
Budaun,BEM,Uttar Pradesh,
Budhi,BDHY,,
Budhlada,BLZ,Punjab,
Budni,BNI,Madhya Pradesh,
Bulandshahr,BSC,Uttar Pradesh,
Bundi,BUDI,Rajasthan,
Bundki,BEK,,
Burdwan,,West Bengal,
Burhanpur,BAU,Madhya Pradesh,
Burhar,BUH,Madhya Pradesh,
Burhwal,BUW,,
Burnpur,BURN,West Bengal,
Butari,BTR,,
Butewala,BWF,,
Buxar,BXR,Bihar,
Byadarahalli,BDRL,Karnataka,
Byculla,BY,Maharashtra,
Boridand,BRND,Chhattisgarh,
Birati,BBT,West Bengal,
Barai Jalalpur,,Sitapur Uttar Pradesh,
Bangaon Junction,BNJ,[West Bengal],
B B D Bag,BBDB,West Bengal,
Budge Budge,BGB,West Bengal,
Bamangachi,BMG,West Bengal,
Bira,BIRA,West Bengal,
Bidhutibhushan Halt,BNAA,West Bengal,
Belur,BEQ,West Bengal,
Belur Math,BEQM,West Bengal,
Bisharpara Kodaliya,BRPK,West Bengal,
Baghbazar,BBR,West Bengal,
Barabazaar,BZR,West Bengal,
Birnagar,BIJ,West Bengal,
C[edit],,,
Station Name,Station Code,State,
C Shahumaharaj T,KOP,Maharashtra,
Calicut,CLT,Kerala,
Canacona,CNO,Goa,
Cannanore,CAN,Kerala,
Cannanore South,CS,Kerala,
Cansaulim,CSM,,
"Carmelaram (Sarjapur Road, Bangalore)",CRLM,Karnataka,
Castle Rock,CLR,Karnataka,
CBD Belapur,BR,Maharashtra,
Chandanathope,,Kerala,
Chabua,CHB,Assam,
Chachaura Bngj,CBK,,
Chadotar,CDQ,,
Chaibasa,CBSA,Jharkhand,
Chainwa,CW,,
Chajawa,CJW,,
Chajli,CJL,,
Chakdaha,CDH,West Bengal,
Chakdayala,CKDL,,
Chakehri(Kanpur),CHK,Uttar Pradesh,
Chakia,CAA,Bihar,
Chakradharpur,CKP,Jharkhand,
Chakraj Mal,CAJ,,
Chaksu,CKS,Rajasthan,
Chakulia,CKU,Jharkhand,
Chalakudi,CKI,Kerala,
Chalala,CLC,Gujarat,
Chalisgaon Junction,CSN,Maharashtra,
Challakere,CLK,Karnataka,
Chalthan,CHM,Gujarat,
Chamagram,CMX,,
Chamarajanagar,CMNR,Karnataka,
Champa,CPH,Chhattisgarh,
Champaner Rd Junction,CPN,,
Chamraura,CHRU,,
Chand Siau,CPS,,
Chanda Fort,CAF,Maharashtra,
Chandan Nagar,CGR,West Bengal,
Chandar,CNR,,
Chandari(Kanpur),CNBI,Uttar Pradesh,
Chandauli Majhwar,CDMR,Uttar Pradesh,
Chandausi Junction,CH,Uttar Pradesh,
Chandawal,CNL,,
Chanderiya,CNA,,
Chandi Mandir,CNDM,Himachal Pradesh,
Chandia Road,CHD,Madhya Pradesh,
Chandigarh,CDG,Chandigarh,
Chandil Junction,CNI,Jharkhand,
Chandiposi,CPE,,
Chandisar,CDS,,
Chandkhira Bagn,CHBN,Assam,
Chandlodiya,CLDY,Gujarat,
Chandok,CNK,Uttar Pradesh,
Chandranathpur,CNE,Assam,
Chandrapur,CD,Maharashtra,
Chandrapura,CRP,Jharkhand,
Chandresal,CDSL,,
Chandur,CND,Maharashtra,
Chaneti,CHTI,,
Changanacheri,CGY,Kerala,
Changsari,CGS,Assam,
Channani,CHNN,,
Channapatna,CPT,Karnataka,
Chanpatia,CAI,Bihar,
Chaparmukh Junction,CPK,Assam,
Chaprakata,CPQ,Assam,
Charaud,CRW,,
Charbagh Railway Station,LKO,Uttar Pradesh,
Charbatia,CBT,,
Charbhuja Road,CBG,,
Chargola,CGX,Assam,
Charkhari Road,CRC,Uttar Pradesh,
Charkhi Dadri,CKD,Haryana,
Charni Road,CYR,Maharashtra,
Charvattur,CHV,,
Chata,CHJ,Uttar Pradesh,
Chatrapati Shivaji Terminus,CST,Maharashtra,
Chau Mahla,CMU,,
Chaube,CBH,,
Chaukhandi,CHH,,
